@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0028181570,SCOPUS_ID:0028181570,2-s2.0-0028181570,"Diet preference of sheep: Effects of recent diet, physiological state and species abundance",Parsons A.,Journal of Animal Ecology,00218790,63,2,465-478,1994-01-01,1994,10.2307/5563,232,Journal,ar,Article,100,5,5,29544,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181569,SCOPUS_ID:0028181569,2-s2.0-0028181569,Processing chain ecology: Resource condition and interspecific interactions,Heard S.,Journal of Animal Ecology,00218790,63,2,451-464,1994-01-01,1994,10.2307/5562,82,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181568,SCOPUS_ID:0028181568,2-s2.0-0028181568,Geographical ranges of Australian mammals,Smith F.,Journal of Animal Ecology,00218790,63,2,441-450,1994-01-01,1994,10.2307/5561,80,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181567,SCOPUS_ID:0028181567,2-s2.0-0028181567,Incumbent advantage in common lizards and their colonizing ability,Massot M.,Journal of Animal Ecology,00218790,63,2,431-440,1994-01-01,1994,10.2307/5560,55,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181566,SCOPUS_ID:0028181566,2-s2.0-0028181566,Facultative behaviour in unpredictable environments: Mobility of red kangaroos in arid Western Australia,Norbury G.,Journal of Animal Ecology,00218790,63,2,410-418,1994-01-01,1994,10.2307/5558,52,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181565,SCOPUS_ID:0028181565,2-s2.0-0028181565,Population dynamic consequences of direct and indirect interactions involving a large blue butterfly and its plant and red ant hosts,Hochberg M.E.,Journal of Animal Ecology,00218790,63,2,375-391,1994-01-01,1994,10.2307/5555,73,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181563,SCOPUS_ID:0028181563,2-s2.0-0028181563,Spatially induced bifurcations in single-species population dynamics,Bascompte J.,Journal of Animal Ecology,00218790,63,2,256-264,1994-01-01,1994,10.2307/5544,69,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,7,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0028181562,SCOPUS_ID:0028181562,2-s2.0-0028181562,Defence reactions in aphids: The influence of state and future reproductive success,Stadler B.,Journal of Animal Ecology,00218790,63,2,419-430,1994-01-01,1994,10.2307/5559,32,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181561,SCOPUS_ID:0028181561,2-s2.0-0028181561,Ecological structure among migrant and resident seabirds of the Scotia-Weddell Confluence region,Ainley D.,Journal of Animal Ecology,00218790,63,2,347-364,1994-01-01,1994,10.2307/5553,72,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181560,SCOPUS_ID:0028181560,2-s2.0-0028181560,"Fecundity versus offspring size in the greater white-toothed shrew, Crocidura russula",Genoud M.,Journal of Animal Ecology,00218790,63,2,328-336,1994-01-01,1994,10.2307/5551,15,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,10,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181559,SCOPUS_ID:0028181559,2-s2.0-0028181559,Evenness of abundance in bird communities,Cotgreave P.,Journal of Animal Ecology,00218790,63,2,365-374,1994-01-01,1994,10.2307/5554,40,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181558,SCOPUS_ID:0028181558,2-s2.0-0028181558,The regular alternation of short and long foraging trips in the blue petrel Halobaena caerulea: A previously undescribed strategy of food provisioning in a pelagic seabird,Chaurand T.,Journal of Animal Ecology,00218790,63,2,275-282,1994-01-01,1994,10.2307/5546,193,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181557,SCOPUS_ID:0028181557,2-s2.0-0028181557,Population growth on a patchy resource: Some insights provided by studies of a histophagous protozoan,Naeem S.,Journal of Animal Ecology,00218790,63,2,399-409,1994-01-01,1994,10.2307/5557,5,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181552,SCOPUS_ID:0028181552,2-s2.0-0028181552,After the decline: What maintains low winter moth density after successful biological control?,Roland J.,Journal of Animal Ecology,00218790,63,2,392-398,1994-01-01,1994,10.2307/5556,36,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,14,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0028181550,SCOPUS_ID:0028181550,2-s2.0-0028181550,Immigration and the dynamics of a predator-prey interaction in biological control,Walde S.,Journal of Animal Ecology,00218790,63,2,337-346,1994-01-01,1994,10.2307/5552,43,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181549,SCOPUS_ID:0028181549,2-s2.0-0028181549,"Encounters between red foxes (Vulpes vulpes): Implications for territory maintenance, social cohesion and dispersal",White P.,Journal of Animal Ecology,00218790,63,2,315-327,1994-01-01,1994,10.2307/5550,94,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181547,SCOPUS_ID:0028181547,2-s2.0-0028181547,"Egg load and the decision to host-feed in the parasitoid, Aphytis melinus",Collier T.,Journal of Animal Ecology,00218790,63,2,299-306,1994-01-01,1994,10.2307/5548,60,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181545,SCOPUS_ID:0028181545,2-s2.0-0028181545,"Brood size, hatching order and hatching date: Effects on four life-history stages from hatching to recruitment in western gulls",Spear L.,Journal of Animal Ecology,00218790,63,2,283-298,1994-01-01,1994,10.2307/5547,117,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181544,SCOPUS_ID:0028181544,2-s2.0-0028181544,Sex- and size-dependent mating tactics in a natural population of shore crabs Carcinus maenas,van der Meeren G.I.,Journal of Animal Ecology,00218790,63,2,307-314,1994-01-01,1994,10.2307/5549,36,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181543,SCOPUS_ID:0028181543,2-s2.0-0028181543,Common mechanisms underlying contrasting dynamics in two populations of the pine looper moth,Broekhuizen N.,Journal of Animal Ecology,00218790,63,2,245-255,1994-01-01,1994,10.2307/5543,10,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181542,SCOPUS_ID:0028181542,2-s2.0-0028181542,Colonial and solitary nesting choice as alternative breeding tactics in tree sparrow Passer montanus,Sasvari L.,Journal of Animal Ecology,00218790,63,2,265-274,1994-01-01,1994,10.2307/5545,8,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,21,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180956,SCOPUS_ID:0028180956,2-s2.0-0028180956,Costs and benefits of egg clustering in Pieris brassicae,Le Masurier A.D.,Journal of Animal Ecology,00218790,63,3,677-685,1994-01-01,1994,10.2307/5233,39,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,22,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180935,SCOPUS_ID:0028180935,2-s2.0-0028180935,Phenotypic selection on the process of gall formation of a Tetraneura aphid (Pemphigidae),Akimoto S.,Journal of Animal Ecology,00218790,63,3,727-738,1994-01-01,1994,10.2307/5237,33,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,23,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180929,SCOPUS_ID:0028180929,2-s2.0-0028180929,Age and reproduction in savannah sparrows and tree swallows,Wheelwright N.,Journal of Animal Ecology,00218790,63,3,686-702,1994-01-01,1994,10.2307/5234,57,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,24,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180928,SCOPUS_ID:0028180928,2-s2.0-0028180928,The relationship between abundance and performance of Eriocrania miners in the field: Effects of the scale and larval traits studied,Koricheva J.,Journal of Animal Ecology,00218790,63,3,714-726,1994-01-01,1994,10.2307/5236,9,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,25,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180922,SCOPUS_ID:0028180922,2-s2.0-0028180922,Foraging behaviour of Antarctic fur seals during periods of contrasting prey abundance,Boyd I.,Journal of Animal Ecology,00218790,63,3,703-713,1994-01-01,1994,10.2307/5235,209,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,26,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180917,SCOPUS_ID:0028180917,2-s2.0-0028180917,Dispersal of a galling sawfly: Implications for studies of insect population dynamics,Stein S.,Journal of Animal Ecology,00218790,63,3,666-676,1994-01-01,1994,10.2307/5232,27,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,27,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180916,SCOPUS_ID:0028180916,2-s2.0-0028180916,Temporal predictability in forest soil communities,Bengtsson J.,Journal of Animal Ecology,00218790,63,3,653-665,1994-01-01,1994,10.2307/5231,54,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,28,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180915,SCOPUS_ID:0028180915,2-s2.0-0028180915,The unselfish swarm?,Young S.,Journal of Animal Ecology,00218790,63,3,611-618,1994-01-01,1994,10.2307/5227,30,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,29,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180914,SCOPUS_ID:0028180914,2-s2.0-0028180914,Spatial and temporal co-occurrence of competitors in southern African dung beetle communities,Giller P.,Journal of Animal Ecology,00218790,63,3,629-643,1994-01-01,1994,10.2307/5229,48,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,30,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180913,SCOPUS_ID:0028180913,2-s2.0-0028180913,Reproductive effort influences the prevalence of haematozoan parasites in great tits,Norris K.,Journal of Animal Ecology,00218790,63,3,601-610,1994-01-01,1994,10.2307/5226,182,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,31,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180910,SCOPUS_ID:0028180910,2-s2.0-0028180910,Functional response of wolves preying on barren-ground caribou in a multiple-prey ecosystem,Dale B.W.,Journal of Animal Ecology,00218790,63,3,644-652,1994-01-01,1994,10.2307/5230,138,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,32,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180909,SCOPUS_ID:0028180909,2-s2.0-0028180909,Rapid or delayed tracking of multi-annual vole cycles by avian predators?,Korpimaki E.,Journal of Animal Ecology,00218790,63,3,619-628,1994-01-01,1994,10.2307/5228,122,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,33,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180908,SCOPUS_ID:0028180908,2-s2.0-0028180908,"Habitat distributions of wintering sparrows along an elevational gradient: Tests of the food, predation and microhabitat structure hypotheses",Repasky R.R.,Journal of Animal Ecology,00218790,63,3,569-582,1994-01-01,1994,10.2307/5223,21,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,34,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180907,SCOPUS_ID:0028180907,2-s2.0-0028180907,Energetic efficiency of reproduction: The benefits of asynchronous hatching for American kestrels,Wiebe K.,Journal of Animal Ecology,00218790,63,3,551-560,1994-01-01,1994,10.2307/5221,50,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,35,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180906,SCOPUS_ID:0028180906,2-s2.0-0028180906,Age-dependent choice of redshank (Tringa totanus) feeding location: Profitability or risk?,Cresswell W.,Journal of Animal Ecology,00218790,63,3,589-600,1994-01-01,1994,10.2307/5225,143,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,36,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180905,SCOPUS_ID:0028180905,2-s2.0-0028180905,"Biomass of rain forest mammals in the Lope Reserve, Gabon",White L.J.T.,Journal of Animal Ecology,00218790,63,3,499-512,1994-01-01,1994,10.2307/5217,132,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,37,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180904,SCOPUS_ID:0028180904,2-s2.0-0028180904,"The effects of a sublethal baculovirus infection in the Indian meal moth, Plodia interpunctella",Sait S.,Journal of Animal Ecology,00218790,63,3,541-550,1994-01-01,1994,10.2307/5220,79,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,38,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180903,SCOPUS_ID:0028180903,2-s2.0-0028180903,The structure of a tropical host-parasitoid community,Memmott J.,Journal of Animal Ecology,00218790,63,3,521-540,1994-01-01,1994,10.2307/5219,151,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,39,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180902,SCOPUS_ID:0028180902,2-s2.0-0028180902,Seasonal effects on superparasitism by Rhagoletis completa,Lalonde R.,Journal of Animal Ecology,00218790,63,3,583-588,1994-01-01,1994,10.2307/5224,31,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,40,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180901,SCOPUS_ID:0028180901,2-s2.0-0028180901,Food- and density-dependent dispersal: Evidence from a soil collembolan,Bengtsson G.,Journal of Animal Ecology,00218790,63,3,513-520,1994-01-01,1994,10.2307/5218,86,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,41,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028180803,SCOPUS_ID:0028180803,2-s2.0-0028180803,"Components of lifetime reproductive success in adders, Vipera berus",Madsen T.,Journal of Animal Ecology,00218790,63,3,561-568,1994-01-01,1994,10.2307/5222,38,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,42,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179911,SCOPUS_ID:0028179911,2-s2.0-0028179911,Directions in conservation biology,Caughley G.,Journal of Animal Ecology,00218790,63,2,215-244,1994-01-01,1994,10.2307/5542,1456,Journal,re,Review,100,1,1,29544,undefined,0,FALSE,43,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028173784,SCOPUS_ID:0028173784,2-s2.0-0028173784,Energetic bottle-necks during breeding and the reproductive cost of being too early,Nilsson J.A.,Journal of Animal Ecology,00218790,63,1,200-208,1994-01-01,1994,10.2307/5595,111,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,44,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028173782,SCOPUS_ID:0028173782,2-s2.0-0028173782,Ecological and genetic spatial patterns of Urophora cardui (Diptera: Tephritidae) as evidence for population structure and biogeographical processes,Eber S.,Journal of Animal Ecology,00218790,63,1,187-199,1994-01-01,1994,10.2307/5594,54,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,45,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028173772,SCOPUS_ID:0028173772,2-s2.0-0028173772,Performance of insect herbivores on hybridizing trees: The case of the subarctic birches,Hanhimaki S.,Journal of Animal Ecology,00218790,63,1,163-175,1994-01-01,1994,10.2307/5592,35,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,46,NA,NA
